Full Name,Company Name,Position,LinkedIn URL
Aala Saifi,Morgan Stanley,Executive Director,https://www.linkedin.com/in/aala-saifi-49744a79
Adam Krupp,Wharton Equity Partners,Managing Director,https://www.linkedin.com/in/adam-krupp-5ba511b
Adam Parker,Heritage Holding,Partner,https://www.linkedin.com/in/adam-parker-293b6735
Adrian Gamory,Argyrion Capital,"Partner-Data Center, Technology Practice",https://www.linkedin.com/in/adrian-gamory-5ba8411
Aileen Gregory,KPMG,Director,https://www.linkedin.com/in/aileen-gregory-66a3925
Akshay Patel,ZMC,Vice President,https://www.linkedin.com/in/akshay-patel-451a5999
Alejandro Borjas,H.C. Wainwright & Co.,Investment Banker,https://www.linkedin.com/in/alejandro-borjas-7b7498210
Alexander Korovin,Morgan Stanley,Vice President,https://www.linkedin.com/in/alexander-korovin-8151548a
Allen Manesh,Ideal Realty Group,Principal,https://www.linkedin.com/in/allen-manesh-29690128
Allison DePasquale,Macquarie,Vice President,https://www.linkedin.com/in/allisondepasquale
Amir Abdu,BGO.,Principal,https://www.linkedin.com/in/amir-abdu-2a166520
Anagh Tiwary,Zero Infinity Partners,Principal,https://www.linkedin.com/in/anagh-tiwary-8a05a6105
Andrew Cook,Morgan Stanley,Project Management Consultant,https://www.linkedin.com/in/andrewbcookmorganstanley
Andrew Winchell,Blackstone,Managing Director,https://www.linkedin.com/in/andrewwinchell
Angelo Lacroix,CVC DIF,Senior Investment Director,https://www.linkedin.com/in/angelolacroix
Anthony Omokha,Ares Management,Managing Director,https://www.linkedin.com/in/anthony-omokha-22ba734
Arman Turna,Global Infrastructure Partners,Analyst,https://www.linkedin.com/in/armanturna
Arnav Ahluwalia,Nomad Futurist Foundation,Advocate,https://www.linkedin.com/in/ahluwalia27
Arya Rashtchi,Avenue Equities,Founder & Principal,https://www.linkedin.com/in/arya-rashtchi-1222a354
Austin Crum,Clearfield Capital Management,Analyst,https://www.linkedin.com/in/austincrum
Barry Smith,Carveout Partners,Managing Partner,https://www.linkedin.com/in/carveout
Benjamin Carron,PassKey,VP,https://www.linkedin.com/in/bencarron
Benjamin Hui,Bryant Street Capital,Investment Analyst,https://www.linkedin.com/in/huibenjamin
Benjamin von Seeger,BVS Consulting,CEO,https://www.linkedin.com/in/bvonseeger
Bill Benjamin,KeyBanc Capital Markets,Managing Director,https://www.linkedin.com/in/bill-benjamin-70a60010
Bora Lee,RBC Capital Markets,Equity Analyst,https://www.linkedin.com/in/boralee
Braden Nguyen,J.P. Morgan,Equity Research Analyst,https://www.linkedin.com/in/bradennguyen
Brandon Richter,Hamilton Robinson Capital Partners,Partner,https://www.linkedin.com/in/brichter1
Brandon Sarno,Mill Point Capital,Principal,https://www.linkedin.com/in/brandon-sarno-50492660
Brendan Kiley,New Vernon Capital Partners,Partner,https://www.linkedin.com/in/brendan-kiley-4b14a85
Brendan Lynch,Barclays,Analyst,https://www.linkedin.com/in/brendanlynchcfa
Brian Caslin,Blackstone,Vice President,https://www.linkedin.com/in/brian-caslin-03470745
Cameron Manesh,IRG Data,Principal,https://www.linkedin.com/in/cameronmanesh
Carl Trop,Next Tier,Principal,https://www.linkedin.com/in/carl-trop-842b465
Charlotte Zhu,GI Partners,Vice President,https://www.linkedin.com/in/charlotte-zhu-6759189b
Chirag Patel,Ripple Effect Asset Management,Analyst,https://www.linkedin.com/in/chirag-patel-03b689a
Chloe Faulk,Newmark,Associate Broker,https://www.linkedin.com/in/chloecatherinefaulk
Chris Minutello,Schonfeld,Investment Analyst,https://www.linkedin.com/in/chris-minutello-673b642b
Chris Moon,DigitalBridge,Managing Director,https://www.linkedin.com/in/michaelbsmith
Chris Pagano,Mitsubishi HC Capital America,Head of Structured Finance,https://www.linkedin.com/in/chrispagano
Christian Lopez,Cohen & Company Capital,Head of Digital Infrastructure,https://www.linkedin.com/in/christianjlopez
Clark Hsu,Paramita Capital,CIO,https://www.linkedin.com/in/tradeoflife
Clay Macfarlane,Blackstone,Principal,https://www.linkedin.com/in/clay-macfarlane
Conal Smith,Goldman Sachs,Vice President,https://www.linkedin.com/in/conalrsmith
Cynthia Chen,Global Infrastructure Partners,Associate,https://www.linkedin.com/in/cindy-xi-chen-8698045a
David Gilford,Sidewalk,Head of Policy and Strategic Partnerships,https://www.linkedin.com/in/gilford
David Gonzalez,SMBC,MD Latin America,https://www.linkedin.com/in/dagonzal
David Plerpa,TerraNova Capital,Analyst,https://www.linkedin.com/in/plerpa
Dean Foskett,Samlyn Capital,Research Analyst,https://www.linkedin.com/in/dean-foskett-61a2861b9
Diego Kantt,Goldman Sachs,Managing Director,https://www.linkedin.com/in/diego-kantt-78561112
