Full Name,Company Name,Position
Aala Saifi,Morgan Stanley,Executive Director
Adam Krupp,Wharton Equity Partners,Managing Director
Adam Parker,Heritage Holding,Partner
Adrian Gamory,Argyrion Capital,"Partner-Data Center, Technology Practice"
Aileen Gregory,KPMG,Director
Akshay Patel,ZMC,Vice President
Alejandro Borjas,H.C. Wainwright & Co.,Investment Banker
Alexander Korovin,Morgan Stanley,Vice President
Allen Manesh,Ideal Realty Group,Principal
Allison DePasquale,Macquarie,Vice President
Amir Abdu,BGO.,Principal
Anagh Tiwary,Zero Infinity Partners,Principal
Andrew Cook,Morgan Stanley,Project Management Consultant
Andrew Winchell,Blackstone,Managing Director
Angelo Lacroix,CVC DIF,Senior Investment Director
Anthony Omokha,Ares Management,Managing Director
Arman Turna,Global Infrastructure Partners,Analyst
Arnav Ahluwalia,Nomad Futurist Foundation,Advocate
Arya Rashtchi,Avenue Equities,Founder & Principal
Austin Crum,Clearfield Capital Management,Analyst
Barry Smith,Carveout Partners,Managing Partner
Benjamin Carron,PassKey,VP
Benjamin Hui,Bryant Street Capital,Investment Analyst
Benjamin von Seeger,BVS Consulting,CEO
Bill Benjamin,KeyBanc Capital Markets,Managing Director
Bora Lee,RBC Capital Markets,Equity Analyst
Braden Nguyen,J.P. Morgan,Equity Research Analyst
Brandon Richter,Hamilton Robinson Capital Partners,Partner
Brandon Sarno,Mill Point Capital,Principal
Brendan Kiley,New Vernon Capital Partners,Partner
Brendan Lynch,Barclays,Analyst
Brian Caslin,Blackstone,Vice President
Cameron Manesh,IRG Data,Principal
Carl Trop,Next Tier,Principal
Charlotte Zhu,GI Partners,Vice President
Chirag Patel,Ripple Effect Asset Management,Analyst
Chloe Faulk,Newmark,Associate Broker
Chris Minutello,Schonfeld,Investment Analyst
Chris Moon,DigitalBridge,Managing Director
Chris Pagano,Mitsubishi HC Capital America,Head of Structured Finance
Christian Lopez,Cohen & Company Capital,Head of Digital Infrastructure
Clark Hsu,Paramita Capital,CIO
Clay Macfarlane,Blackstone,Principal
Conal Smith,Goldman Sachs,Vice President
Cynthia Chen,Global Infrastructure Partners,Associate
David Gilford,Sidewalk,Head of Policy and Strategic Partnerships
David Gonzalez,SMBC,MD Latin America
David Plerpa,TerraNova Capital,Analyst
Dean Foskett,Samlyn Capital,Research Analyst
Diego Kantt,Goldman Sachs,Managing Director
